GPA,SAT,GRADE,ACT,MUST ATTEND INTO,RESIDENTIAL ADDRESS,INCOME,ETHNICITY,RACE,NATIONALITY,AGE,GENDER,RELIGION,ABILITY,DISABILITY,MAJOR,DEADLINE,MUST STUDY IN,TITLE,STATE,LINK
2.8,980,high school senior,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5 Strong Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
2.5,-,-,-,-,Georgia or Alabama,-,-,-,-,-,-,-,-,-,-,-,-,ARRL Charles Clarke Cordle Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
2.5,-,high school senior,-,Historically Black College or University,-,-,-,-,-,-,-,-,-,-,"Criminal Justice, Journalism or Nursing or Healthcare",-,-,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
2.5,-,-,-,-,-,-,African-American or Black,African-American or Black,-,-,-,-,-,-,-,-,-,CBC Spouses Visual Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
3.0,-,sophomores or juniors,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Climate Adaptation Scientists of Tomorrow Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
2.75,-,high school senior or first-time college freshman,26,an Alabama eligible educational institution,Alabama,-,-,-,U.S.,-,-,-,-,-,-,-,-,CollegeCounts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/collegecounts-scholarship-program
3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JSU Alabama Bob & Lou Kennamer Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-bob-and-lou-kennamer-scholarship
3.0,1030,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JSU Alabama Leadership Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-leadership-scholarship
2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,JSU Drama Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-drama-scholarship
