question,answer,score,score2,title,state,link
What should be the GPA score?,2.8,0.8945760726928711,0.6168099045753479,5 Strong Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
What should be the GPA score?,2.5,0.8892475366592407,0.5555238127708435,ARRL Charles Clarke Cordle Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
What should be the GPA score?,2.5 or higher,0.6607972979545593,0.446522980928421,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
What should be the GPA score?,2.5,0.8975263237953186,0.2863163352012634,CBC Spouses Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
What should be the GPA score?,2.5,0.8915091753005981,0.2522981762886047,CBC Spouses Visual Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
What should be the GPA score?,3.0 or higher,0.6888982653617859,0.3601630926132202,Climate Adaptation Scientists of Tomorrow Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
What should be the GPA score?,2.75,0.9828570485115052,0.8605746030807495,CollegeCounts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/collegecounts-scholarship-program
What should be the GPA score?,3.0,0.9522267580032348,0.7835238575935364,JSU Alabama Bob & Lou Kennamer Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-bob-and-lou-kennamer-scholarship
What should be the GPA score?,3.0,0.8481246829032898,0.6120507717132568,JSU Alabama Leadership Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-leadership-scholarship
What should be the GPA score?,2.5,0.6335199475288391,0.4856332540512085,JSU Drama Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-drama-scholarship
What should be the GPA score?,3.0,0.8888011574745178,0.7122438549995422,Korean American Scholarship Foundation-Southern Regional Chapter,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/korean-american-scholarship-foundation-southern-regional-chapter
What should be the GPA score?,2.5,0.8991506695747375,0.6529397368431091,Norfolk Southern Foundation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/norfolk-southern-foundation-scholarship
What should be the GPA score?,2.0,0.8206328749656677,0.522831380367279,Pen Air Federal Credit Union Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/pen-air-federal-credit-union-scholarship-program
What should be the GPA score?,2.5,0.843971312046051,0.3777878880500793,Southern Automotive Womens Forum Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/southern-automotive-womens-forum-scholarship
What should be the GPA score?,3.0,0.7990274429321289,0.5422272682189941,Teacher Education Scholarship Program of the Alabama Space Grant Consortium,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/teacher-education-scholarship-program-of-the-alabama-space-grant-consortium
What should be the GPA score?,2.5,0.9354061484336852,0.6759601831436157,The Luther and Mary Ida Vandross Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/the-luther-and-mary-ida-vandross-scholarship
What should be the GPA score?,3.0,0.7402993440628052,0.4273686110973358,U of A Tuscaloosa Coca-Cola First-Generation Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/u-of-a-tuscaloosa-coca-cola-first-generation-scholarship
What should be the GPA score?,3.8,0.8900624513626099,0.652479350566864,U of A Tuscaloosa National Alumni Association Crimson Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/u-of-a-tuscaloosa-national-alumni-association-crimson-scholarship
What should be the GPA score?,2.5,0.8989195823669434,0.5878730416297913,UNCF General Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/uncf-general-scholarship
What should be the GPA score?,3.0,0.8037751317024231,0.5898632407188416,University of Alabama-Tuscaloosa In-State Merit Scholarships,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-alabama-tuscaloosa-in-state-merit-scholarships
What should be the GPA score?,3.0,0.808150053024292,0.6502155065536499,University of Alabama-Tuscaloosa Out of State Merit Scholarships,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-alabama-tuscaloosa-out-of-state-merit-scholarships
What should be the GPA score?,2.5,0.9217985272407532,0.639148473739624,University of South Alabama/Drama Assistantships/Scholarships,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/university-of-south-alabama-drama-assistantships-scholarships
What should be the GPA score?,3.0,0.8918570280075073,0.6233561038970947,Alaska Airmen Scholarships,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/alaska-airmen-scholarships
What should be the GPA score?,2.5,0.8975263237953186,0.2863163352012634,CBC Spouses Performing Arts Scholarship,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/cbc-spouses-performing-arts-scholarship
What should be the GPA score?,3.0,0.6972042322158813,0.5645416378974915,Korean American Scholarship Foundation - Western Regional Chapter,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/korean-american-scholarship-foundation-western-regional-chapter
What should be the GPA score?,3.0,0.8820943832397461,0.2191110253334045,Northwest Farm Credit Services Minority Scholarship,Alaska,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alaska/northwest-farm-credit-services-minority-scholarship
What should be the GPA score?,3.0 of 4.0 or higher,0.3767755627632141,0.3151271641254425,Arizona Breaking Barriers Student Athlete Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/arizona-breaking-barriers-student-athlete-scholarship
What should be the GPA score?,3.0,0.7535661458969116,0.145913690328598,Beaty Martinez Foundation Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/beaty-martinez-foundation-scholarship
What should be the GPA score?,2.5,0.8975263237953186,0.2863163352012634,CBC Spouses Performing Arts Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/cbc-spouses-performing-arts-scholarship
What should be the GPA score?,3.0 or higher,0.2132133245468139,0.2052494436502456,CU Succeed Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/cu-succeed-scholarship
What should be the GPA score?,3.5,0.9075393676757812,0.2269313037395477,Flinn Scholars,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/flinn-scholars
What should be the GPA score?,3.0,0.6972042322158813,0.5645416378974915,Korean American Scholarship Foundation - Western Regional Chapter,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/korean-american-scholarship-foundation-western-regional-chapter
What should be the GPA score?,3.0,0.8084083199501038,0.6175521612167358,Phoenix AISES Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/phoenix-aises-scholarship
What should be the GPA score?,2.5,0.8220595121383667,0.4092752337455749,PinPoint Leak Detection's Innovation Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/pinpoint-leak-detections-innovation-scholarship
What should be the GPA score?,2.5,0.8290314674377441,0.2539874315261841,TWP Veronica Munoz Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/twp-veronica-munoz-scholarship
What should be the GPA score?,2.5,0.887684166431427,0.631976306438446,Union Pacific William E. Wimmer Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/union-pacific-william-e-wimmer-scholarship
What should be the GPA score?,2.5,0.8958663940429688,0.6315844058990479,William E. and Barbara I. Van Trump Scholarship,Arizona,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arizona/william-e-and-barbara-i-van-trump-scholarship
What should be the GPA score?,2.5,0.918570041656494,0.309552788734436,Arkadelphia Promise Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/arkadelphia-promise-scholarship
What should be the GPA score?,3.0,0.9666882753372192,0.8690234422683716,Arkansas Chamber Singers Music/Vocal Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/arkansas-chamber-singers-music-vocal-scholarship
What should be the GPA score?,95%,0.8921282887458801,0.231180191040039,Arkansas Northeastern College - Great River Promise Scholarship,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/arkansas-northeastern-college-great-river-promise-scholarship
What should be the GPA score?,2.0,0.8649530410766602,0.544513463973999,Arkansas Single Parent Scholarship Fund,Arkansas,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/arkansas/arkansas-single-parent-scholarship-fund
