question,answer,score,score2,sim_ans_ans_score,sim_topic_ans_score,multiplication,title,state,link
What should be the GPA score?,2.8,0.8945760726928711,0.6168099045753479,0.7745179683435224,0.1999324858188629,0.0854443755283365,5 Strong Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/5-strong-scholarship
What should be the GPA score?,2.5,0.8892475366592407,0.5555238127708435,0.829871138970636,0.2526704967021942,0.1035834915315466,ARRL Charles Clarke Cordle Memorial Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/arrl-charles-clarke-cordle-memorial-scholarship
What should be the GPA score?,2.5 or higher,0.6607972979545593,0.446522980928421,0.6854709144933663,0.1534566283226013,0.031037501779672,"BECA, Inc. Edna R. Anthony Memorial Scholarship",Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/beca-inc-edna-r-anthony-memorial-scholarship
What should be the GPA score?,2.5,0.8975263237953186,0.2863163352012634,0.829871138970636,0.2526704967021942,0.0538838373673268,CBC Spouses Performing Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-performing-arts-scholarship
What should be the GPA score?,2.5,0.8915091753005981,0.2522981762886047,0.829871138970636,0.2526704967021942,0.0471634019474102,CBC Spouses Visual Arts Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/cbc-spouses-visual-arts-scholarship
What should be the GPA score?,3.0 or higher,0.6888982653617859,0.3601630926132202,0.6756416503398153,0.1332690119743347,0.0223408601560332,Climate Adaptation Scientists of Tomorrow Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/climate-adaptation-scientists-of-tomorrow-program
What should be the GPA score?,2.75,0.9828570485115052,0.8605746030807495,0.7390289782981595,0.2363120019435882,0.1477155204987887,CollegeCounts Scholarship Program,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/collegecounts-scholarship-program
What should be the GPA score?,3.0,0.9522267580032348,0.7835238575935364,0.8178447362163437,0.2364531308412552,0.144280798674809,JSU Alabama Bob & Lou Kennamer Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-bob-and-lou-kennamer-scholarship
What should be the GPA score?,3.0,0.8481246829032898,0.6120507717132568,0.8178447362163437,0.2364531308412552,0.1003836734245815,JSU Alabama Leadership Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-alabama-leadership-scholarship
What should be the GPA score?,2.5,0.6335199475288391,0.4856332540512085,0.829871138970636,0.2526704967021942,0.0645110197253741,JSU Drama Scholarship,Alabama,https://www.scholarships.com/financial-aid/college-scholarships/scholarship-directory/school-attendance-state/alabama/jsu-drama-scholarship
